title,vendor,description,category_ind
Wireless earbuds with case,SoundMax,Bluetooth earphones for спорт и музыка,0
Gaming headset RGB,HyperBeat,Наушники для игр с микрофоном,0
Noise cancelling headphones,BassBoost,Полноразмерные наушники для поездок,0
USB C phone charger,VoltUp,Быстрая зарядка смартфона,1
65W wall adapter,VoltUp,Зарядное устройство для ноутбука,1
Power bank 20000 mah,EnergyBox,Портативный аккумулятор,1
Smart watch sport,TimeGo,Умные часы с пульсометром,2
Fitness band pro,TimeGo,Фитнес браслет с шагомером,2
Kids smart watch,KidSafe,Детские смарт часы с GPS,2
Wireless earbuds mini,MiniPods,Компактные наушники для телефона,0
Laptop charger type c,ChargeIT,Сетевой адаптер 100W,1
Smartwatch classic,Chronos,Часы с AMOLED экраном,2
